LATITUDE;LONGITUDE;PADRAO;CHURRASQUEIRA;PISCINA;PLAYGROUND;PORTARIA;SALAO_FESTAS;QUADRA_POLIESPORTIVA;VAGAS_GARAGEM;BANHEIROS;QUARTOS;AREA;VALOR
-23.52;-46.65;2;1;1;1;1;1;0;1;0;0;37.57;300000
-23.52;-46.65;2;1;1;1;1;0;0;1;0;1;37.57;365000
-23.52;-46.65;2;1;1;1;1;1;0;1;0;1;37.57;281000
-23.52;-46.65;1;0;1;1;1;1;0;1;1;1;41;316000
-23.52;-46.65;2;1;1;1;1;1;0;1;0;1;40.01;330000
-23.53;-46.65;2;1;1;0;1;1;0;1;1;2;46.56;407000
-23.53;-46.65;2;1;1;1;1;1;0;1;1;2;65.66;550000
-23.53;-46.65;2;1;1;0;1;1;1;1;1;2;65.66;506500
-23.53;-46.65;2;1;1;1;1;1;0;2;0;0;92.47;850000
-23.53;-46.65;2;1;1;1;1;1;1;2;1;3;91.63;720000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;1;76.89;607000
-23.52;-46.65;2;1;1;1;1;1;1;1;0;2;52.92;400000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;63.14;425000
-23.52;-46.65;2;1;1;1;1;1;1;1;1;2;63.14;450000
-23.52;-46.65;2;1;1;1;1;1;1;1;0;2;47.64;396000
-23.52;-46.65;2;1;1;1;1;1;1;1;0;2;47.64;428728
-23.52;-46.65;2;1;1;1;1;1;1;1;0;1;52.48;495000
-23.52;-46.65;2;1;1;0;1;1;0;1;1;2;52.48;450000
-23.52;-46.65;2;0;1;1;1;1;1;1;0;2;47.64;375000
-23.52;-46.65;2;1;1;0;1;1;0;1;1;2;47.64;495000
-23.52;-46.65;2;1;1;1;1;1;0;1;1;2;70.3;500000
-23.53;-46.65;2;1;1;1;1;1;1;1;1;2;71.19;600000
-23.53;-46.65;2;0;0;0;1;0;0;0;0;2;106.38;355000
-23.53;-46.65;2;0;0;0;0;0;0;0;0;1;66.01;270000
-23.52;-46.66;2;0;0;0;1;0;0;0;0;1;46.94;300000
-23.52;-46.66;2;0;0;0;1;0;0;0;0;1;30.8;230000
-23.52;-46.66;2;0;1;1;1;1;1;1;1;3;70.24;500000
-23.52;-46.66;2;1;1;1;1;1;0;1;1;1;51.79;496000
-23.52;-46.66;2;1;1;0;1;1;0;1;0;0;50.51;445000
-23.52;-46.66;1;0;0;0;0;0;0;1;0;0;50.99;525000
-23.52;-46.66;2;1;1;1;1;1;0;1;0;1;50.99;478000
-23.52;-46.66;2;1;1;0;1;1;0;1;0;1;51.22;560000
-23.52;-46.66;2;1;1;0;1;1;0;1;0;2;57.73;516000
-23.52;-46.66;2;1;1;1;1;1;0;2;1;3;74.25;735000
-23.52;-46.66;2;1;1;1;1;1;0;2;1;3;74.25;735000
-23.52;-46.65;2;0;1;1;1;1;0;2;1;2;74.35;600000
-23.52;-46.66;2;0;1;0;1;1;1;2;1;3;126.79;938000
-23.52;-46.67;2;1;1;1;1;1;1;3;3;3;162.4;1650000
-23.52;-46.67;2;1;1;1;1;1;1;2;1;3;126.79;1064000
-23.53;-46.66;2;0;0;0;0;0;0;0;0;2;74.4;400000
-23.53;-46.66;2;0;0;0;0;0;0;0;1;3;114.55;465000
-23.53;-46.66;2;0;0;0;0;0;0;0;0;2;81;500000
-23.53;-46.66;2;0;0;0;0;0;0;0;0;2;81;415000
-23.53;-46.66;2;0;0;0;0;0;0;0;1;3;114.55;460000
-23.53;-46.66;2;0;0;0;0;0;0;0;1;1;52.6;260000
-23.53;-46.65;2;0;1;1;0;1;0;1;0;1;33.02;210000
-23.53;-46.65;2;0;0;0;0;0;0;0;0;2;74.12;283000
-23.53;-46.65;2;0;0;0;0;0;0;0;0;2;49.31;270000
-23.53;-46.65;1;0;0;0;0;0;0;0;0;1;44.4;270000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;1;24.36;148000
-23.53;-46.64;2;0;0;0;1;0;0;0;0;1;25.76;145000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;1;24.35;160000
-23.53;-46.64;1;0;0;0;0;0;0;0;0;0;42.41;220000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;0;58.5;300000
-23.53;-46.65;2;0;0;0;1;0;0;0;0;2;70;400000
-23.53;-46.64;2;0;0;0;1;0;0;0;0;1;50.03;336000
-23.53;-46.64;2;0;0;0;1;0;0;0;0;0;112.2;430000
-23.53;-46.65;1;0;0;0;1;1;0;0;1;2;100.68;600000
-23.53;-46.65;2;1;0;1;1;1;0;0;1;3;102.6;697000
-23.52;-46.65;2;0;0;0;1;1;0;1;0;3;148.71;640000
-23.53;-46.65;2;0;0;0;1;0;0;1;0;2;70;447000
-23.53;-46.64;2;0;0;0;1;0;0;0;0;2;60.8;370000
-23.53;-46.65;2;1;1;0;1;1;0;1;0;1;35.35;330000
-23.53;-46.65;1;1;1;0;0;1;0;1;0;1;35.35;312000
-23.53;-46.65;1;1;1;0;1;1;0;1;0;1;31.39;320000
-23.54;-46.64;2;1;1;0;1;1;0;0;0;2;44.16;259323
-23.53;-46.64;1;0;0;0;1;0;0;0;0;1;27.05;140000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;2;56.14;205000
-23.53;-46.64;1;0;0;0;0;0;0;0;0;0;28;135000
-23.53;-46.64;1;0;0;0;1;0;0;0;0;1;56.12;210000
-23.53;-46.64;2;0;0;0;1;0;0;0;0;1;47.1;224000
-23.53;-46.64;1;0;0;0;1;0;0;0;0;3;112.8;380000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;3;112.8;432000
-23.53;-46.64;2;0;0;0;1;1;0;1;0;1;34.5;230000
-23.53;-46.64;2;0;0;0;0;1;0;0;0;1;25.93;150000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;0;36.78;150000
-23.54;-46.64;1;0;0;0;1;0;0;0;0;2;36.78;230000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;2;52.93;150000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;1;25.93;177158
-23.56;-46.45;2;1;0;0;0;0;0;0;0;0;27.75;140000
-23.53;-46.64;2;0;0;0;1;0;0;1;0;1;37.67;295000
-23.53;-46.69;2;1;0;1;1;1;0;1;0;1;37.67;260000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;2;76.75;180000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;1;33.64;184000
-23.54;-46.63;2;1;0;0;0;1;0;0;0;1;63.32;198000
-23.53;-46.64;2;0;0;0;0;0;0;0;0;1;34.7;207000
-23.52;-46.64;2;0;0;0;1;0;0;0;0;1;28.26;146000
-23.53;-46.64;1;0;0;0;0;0;0;0;0;0;69.38;326000
-23.53;-46.64;1;0;0;0;0;0;0;0;0;1;57.77;200000
-23.53;-46.63;2;0;0;0;1;0;0;0;0;1;50.52;175000
-23.53;-46.63;2;0;0;0;0;0;0;0;0;1;40.3;165000
-23.54;-46.63;2;0;1;0;1;1;0;1;1;1;34.72;435000
-23.54;-46.63;2;1;1;0;1;1;0;1;1;1;36.52;420000
-23.54;-46.64;1;0;0;0;1;1;0;0;0;1;28.11;120000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;1;41.76;209300
-23.54;-46.64;1;0;0;0;1;0;0;0;0;1;37.93;170000
-23.56;-46.45;2;0;0;0;0;0;0;0;0;0;41.76;127000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;0;29;150000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;1;27.7;165000
-23.54;-46.64;2;0;0;0;0;0;0;0;0;1;32.19;197000
-23.54;-46.64;2;0;0;0;0;0;0;0;0;1;45.81;160000
-23.54;-46.64;2;0;0;0;1;0;0;0;0;1;32.19;191342
-23.54;-46.64;2;0;0;0;1;0;0;0;0;1;40.39;215000
-23.54;-46.64;2;0;0;0;0;0;0;0;0;3;86.5;595000
